Data,Ora,Temperatura - °C,Umidità - %,Pressione - mBar
20/11/2021,18:56:30,12.1,44.2,1011
20/11/2021,18:56:40,11.9,44.5,1011
20/11/2021,18:56:50,11.8,44.7,1011
20/11/2021,18:57:00,11.7,45.0,1011
20/11/2021,18:57:11,11.6,45.2,1011
20/11/2021,18:57:21,11.5,45.5,1011
20/11/2021,18:57:31,11.4,45.7,1011
20/11/2021,18:57:41,11.3,45.8,1011
20/11/2021,18:57:51,11.2,46.0,1011
20/11/2021,18:58:01,11.2,46.2,1011
20/11/2021,18:58:11,11.1,46.4,1011
20/11/2021,19:00:15,10.5,48.1,1011
20/11/2021,19:00:25,10.4,48.1,1011
20/11/2021,19:00:35,10.4,48.2,1011
20/11/2021,19:00:45,10.4,48.4,1011
20/11/2021,19:00:55,10.3,48.5,1011
20/11/2021,19:01:05,10.3,48.5,1011
20/11/2021,19:01:15,10.2,48.6,1011
20/11/2021,19:01:25,10.2,48.8,1011
20/11/2021,19:01:35,10.1,48.9,1011
20/11/2021,19:01:45,10.1,49.0,1011
20/11/2021,19:01:55,10.1,49.1,1011
20/11/2021,19:02:05,10.0,49.2,1011
20/11/2021,19:02:16,10.0,49.5,1011
20/11/2021,19:02:26,10.0,49.7,1011
20/11/2021,19:02:36,9.97,49.8,1011
20/11/2021,19:02:46,9.94,49.8,1011
20/11/2021,19:02:56,9.9,49.8,1011
20/11/2021,19:03:06,9.87,49.9,1011
20/11/2021,19:03:16,9.85,50.0,1011
20/11/2021,19:03:26,9.82,50.0,1011
20/11/2021,19:03:36,9.79,50.2,1011
20/11/2021,19:03:46,9.76,50.2,1011
20/11/2021,19:03:56,9.73,50.3,1011
20/11/2021,19:04:06,9.7,50.3,1011
20/11/2021,19:04:16,9.68,50.5,1011
20/11/2021,19:04:26,9.73,51.4,1011
20/11/2021,19:04:36,9.74,51.7,1011
20/11/2021,19:04:46,9.69,50.8,1011
20/11/2021,19:04:56,9.66,51.0,1011
20/11/2021,19:05:06,9.6,51.0,1011
20/11/2021,19:05:16,9.55,51.1,1011
20/11/2021,19:05:26,9.52,51.2,1011
20/11/2021,19:05:37,9.48,51.2,1011
20/11/2021,19:05:47,9.45,51.3,1011
20/11/2021,19:05:57,9.42,51.4,1011
20/11/2021,19:06:07,9.39,51.5,1011
20/11/2021,19:06:17,9.37,51.6,1011
20/11/2021,19:06:27,9.34,51.7,1011
20/11/2021,19:06:37,9.31,51.7,1011
20/11/2021,19:06:47,9.3,51.9,1011
20/11/2021,19:06:57,9.29,51.9,1011
20/11/2021,19:07:07,9.26,52.0,1011
20/11/2021,19:07:17,9.24,52.0,1011
20/11/2021,19:07:27,9.21,52.1,1011
20/11/2021,19:07:37,9.18,52.2,1011
20/11/2021,19:07:47,9.16,52.2,1011
20/11/2021,19:07:57,9.13,52.3,1011
20/11/2021,19:08:07,9.11,52.4,1011
20/11/2021,19:08:17,9.08,52.5,1011
20/11/2021,19:08:27,9.07,52.6,1011
20/11/2021,19:08:37,9.06,52.6,1011
20/11/2021,19:08:47,9.04,52.7,1011
